Россия;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1141;НСС - Нижний Новгород;6,89;rur;19,68;rur
1141;НТК;7,29;rur;17,4;rur
1141;Оренбург GSM;9,23;rur;22;rur
1141;Саратов-Мобайл;7,46;rur;14,14;rur
1141;Сибирьтелеком;7,9;rur;0;rur
1141;СМАРТС - Астрахань;5,33;rur;22;rur
1141;СМАРТС - Волгоград GSM;9,8;rur;22,42;rur
1141;СМАРТС - Иваново;7,46;rur;17,8;rur
1141;СМАРТС - Пенза;5,43;rur;21,17;rur
1141;СМАРТС - Самара;6,18;rur;17,8;rur
1141;СМАРТС - Шупашкар;10,24;rur;22;rur
1141;СМАРТС - Ярославль;6,18;rur;17,8;rur
1141;СТеК Джи Эс Эм;9,81;rur;18;rur
1141;Татинком;6,88;rur;19,68;rur
1141;Ульяновск GSM;11,18;rur;22;rur
1141;Цифровая экспансия;9,69;rur;17,8;rur
1151;TELE2;15,08;rur;29,7;rur
1151;UTEL;12,41;rur;30;rur
1151;АКОС;16,34;rur;29,7;rur
1151;БайкалВестКом;18,83;rur;34,22;rur
1151;Билайн;19,07;rur;33,9;rur
1151;Дельта Телеком (skylink);16,51;rur;30;rur
1151;Енисей Телеком;12,7;rur;30;rur
1151;Мегафон - Дальний Восток;15,68;rur;29,7;rur
1151;Мегафон - Москва;15,68;rur;29,7;rur
1151;Мегафон - Поволжье;15,68;rur;29,7;rur
1151;Мегафон - Северный Кавказ;15,68;rur;29,7;rur
1151;Мегафон - Северо-Запад;15,68;rur;29,7;rur
1151;Мегафон - Сибирь;15,68;rur;29,7;rur
1151;Мегафон - Урал;15,68;rur;29,7;rur
1151;Мегафон - Центр;15,68;rur;29,7;rur
1151;Мегафон - Центр - Северный филиал;15,68;rur;29,7;rur
1151;Мегафон - Центр - Южный филиал;15,68;rur;29,7;rur
1151;МОТИВ;18,84;rur;34,25;rur
1151;МТС;15,14;rur;28,41;rur
1151;МТС - Москва;15,14;rur;28,41;rur
1151;МТС - МР Дальневосточный;15,14;rur;28,41;rur
1151;МТС - МР Приволжский;15,14;rur;28,41;rur
1151;МТС - МР Северо-Западный;15,14;rur;28,41;rur
1151;МТС - МР Северо-кавказский;15,14;rur;28,41;rur
1151;МТС - МР Сибирский;15,14;rur;28,41;rur
1151;МТС - МР Уральский;15,14;rur;28,41;rur
1151;МТС - МР Центральный;15,14;rur;28,41;rur
1151;МТС - РеКом;15,14;rur;28,41;rur
1151;НСС;11,56;rur;27,84;rur
1151;НСС - Нижний Новгород;11,68;rur;27,84;rur
1151;НТК;12,16;rur;28,71;rur
1151;Оренбург GSM;14,48;rur;34,22;rur
1151;Саратов-Мобайл;11,83;rur;23,62;rur
1151;Сибирьтелеком;13,16;rur;0;rur
1151;СМАРТС - Астрахань;10,14;rur;34,22;rur
1151;СМАРТС - Волгоград GSM;14,48;rur;34,22;rur
1151;СМАРТС - Иваново;12,55;rur;29,66;rur
1151;СМАРТС - Пенза;9,86;rur;29,66;rur
1151;СМАРТС - Самара;11,12;rur;29,66;rur
1151;СМАРТС - Шупашкар;15,93;rur;34,22;rur
1151;СМАРТС - Ярославль;11,12;rur;29,66;rur
1151;СТеК Джи Эс Эм;16,51;rur;30;rur
1151;Татинком;11,56;rur;27,84;rur
1151;Ульяновск GSM;17,27;rur;34;rur
1151;Цифровая экспансия;16,32;rur;29,66;rur
1161;TELE2;45,56;rur;89,7;rur
1161;UTEL;37,8;rur;90;rur
1161;АКОС;49,96;rur;90,8;rur
1161;БайкалВестКом;57,78;rur;105,02;rur
1161;Билайн;54,72;rur;94,07;rur
1161;Дельта Телеком (skylink);49,02;rur;90;rur
1161;Енисей Телеком;38,09;rur;90;rur
1161;Мегафон - Дальний Восток;49,86;rur;119;rur
1161;Мегафон - Москва;49,86;rur;119;rur
1161;Мегафон - Поволжье;49,86;rur;119;rur
1161;Мегафон - Северный Кавказ;49,86;rur;119;rur
1161;Мегафон - Северо-Запад;49,86;rur;119;rur
1161;Мегафон - Сибирь;49,86;rur;119;rur
1161;Мегафон - Урал;49,86;rur;119;rur
1161;Мегафон - Центр;49,86;rur;119;rur
1161;Мегафон - Центр - Северный филиал;49,86;rur;119;rur
1161;Мегафон - Центр - Южный филиал;49,86;rur;119;rur
1161;МОТИВ;57,77;rur;105;rur
1161;МТС;46,72;rur;85,81;rur
1161;МТС - Москва;46,72;rur;85,81;rur
1161;МТС - МР Дальневосточный;46,72;rur;85,81;rur
1161;МТС - МР Приволжский;46,72;rur;85,81;rur
1161;МТС - МР Северо-Западный;46,72;rur;85,81;rur
1161;МТС - МР Северо-кавказский;46,72;rur;85,81;rur
1161;МТС - МР Сибирский;46,72;rur;85,81;rur
1161;МТС - МР Уральский;46,72;rur;85,81;rur
1161;МТС - МР Центральный;46,72;rur;85,81;rur
1161;МТС - РеКом;46,72;rur;85,81;rur
1161;НСС;35,24;rur;84,36;rur
1161;НСС - Нижний Новгород;35,6;rur;84,36;rur
1161;НТК;36,7;rur;86,71;rur
1161;Оренбург GSM;41,97;rur;76,28;rur
1161;Саратов-Мобайл;35,9;rur;71,49;rur
1161;Сибирьтелеком;38,42;rur;0;rur
1161;СМАРТС - Астрахань;36,73;rur;124;rur
1161;СМАРТС - Волгоград GSM;44,57;rur;90;rur
1161;СМАРТС - Иваново;50,93;rur;120,34;rur
1161;СМАРТС - Пенза;41,71;rur;123,73;rur
1161;СМАРТС - Самара;34,04;rur;144,07;rur
1161;СМАРТС - Шупашкар;49,81;rur;107;rur
1161;СМАРТС - Ярославль;47,05;rur;124;rur
1161;СТеК Джи Эс Эм;58,32;rur;106;rur
1161;Татинком;35,24;rur;84,36;rur
1161;Ульяновск GSM;45,62;rur;89,83;rur
1161;Цифровая экспансия;49,42;rur;89,83;rur
1171;TELE2;83,35;rur;168;rur
1171;UTEL;61,92;rur;150;rur
1171;АКОС;77,52;rur;143,8;rur
1171;БайкалВестКом;90,65;rur;168,15;rur
1171;Билайн;81,45;rur;144,07;rur
1171;Дельта Телеком (skylink);93,3;rur;150;rur
1171;Енисей Телеком;58,05;rur;140;rur
1171;Мегафон - Дальний Восток;61,7;rur;150;rur
1171;Мегафон - Москва;61,7;rur;150;rur
1171;Мегафон - Поволжье;61,7;rur;150;rur
1171;Мегафон - Северный Кавказ;61,7;rur;150;rur
1171;Мегафон - Северо-Запад;61,7;rur;150;rur
1171;Мегафон - Сибирь;61,7;rur;150;rur
1171;Мегафон - Урал;61,7;rur;150;rur
1171;Мегафон - Центр;61,7;rur;150;rur
1171;Мегафон - Центр - Северный филиал;61,7;rur;150;rur
1171;Мегафон - Центр - Южный филиал;61,7;rur;150;rur
1171;МОТИВ;91,28;rur;169,33;rur
1171;МТС;87,23;rur;157,85;rur
1171;МТС - Москва;87,23;rur;157,85;rur
1171;МТС - МР Дальневосточный;87,23;rur;157,85;rur
1171;МТС - МР Приволжский;87,23;rur;157,85;rur
1171;МТС - МР Северо-Западный;87,23;rur;157,85;rur
1171;МТС - МР Северо-кавказский;87,23;rur;157,85;rur
1171;МТС - МР Сибирский;87,23;rur;157,85;rur
1171;МТС - МР Уральский;87,23;rur;157,85;rur
1171;МТС - МР Центральный;87,23;rur;157,85;rur
1171;МТС - РеКом;87,23;rur;157,85;rur
1171;НСС;46,54;rur;112,48;rur
1171;НСС - Нижний Новгород;46,53;rur;112,48;rur
1171;НТК;57,13;rur;137,75;rur
1171;Оренбург GSM;70,21;rur;169,33;rur
1171;Саратов-Мобайл;63,26;rur;107,73;rur
1171;Сибирьтелеком;58,05;rur;152;rur
1171;СМАРТС - Астрахань;58,05;rur;200;rur
1171;СМАРТС - Волгоград GSM;75,47;rur;140;rur
1171;СМАРТС - Иваново;59,74;rur;144,07;rur
1171;СМАРТС - Пенза;47,62;rur;144,07;rur
1171;СМАРТС - Самара;53,59;rur;144,07;rur
1171;СМАРТС - Шупашкар;77,54;rur;170;rur
1171;СМАРТС - Ярославль;53,59;rur;144,07;rur
1171;СТеК Джи Эс Эм;91,64;rur;170;rur
1171;Татинком;46,53;rur;112,47;rur
1171;Ульяновск GSM;84,59;rur;170;rur
1171;Цифровая экспансия;77,66;rur;144,07;rur
1899;TELE2;36,06;rur;71;rur
1899;UTEL;25,11;rur;60;rur
1899;АКОС;33,34;rur;60,6;rur
1899;БайкалВестКом;33,01;rur;70,8;rur
1899;Билайн;34,13;rur;59,32;rur
1899;Дельта Телеком (skylink);33,01;rur;60;rur
1899;Енисей Телеком;25,39;rur;60;rur
1899;Мегафон - Дальний Восток;37,16;rur;89;rur
1899;Мегафон - Москва;37,16;rur;89;rur
1899;Мегафон - Поволжье;37,16;rur;89;rur
1899;Мегафон - Северный Кавказ;37,16;rur;89;rur
1899;Мегафон - Северо-Запад;37,16;rur;89;rur
1899;Мегафон - Сибирь;37,16;rur;89;rur
1899;Мегафон - Урал;37,16;rur;89;rur
1899;Мегафон - Центр;37,16;rur;89;rur
1899;Мегафон - Центр - Северный филиал;37,16;rur;89;rur
1899;Мегафон - Центр - Южный филиал;37,16;rur;89;rur
1899;МОТИВ;38,35;rur;69,7;rur
1899;МТС;31,09;rur;57,4;rur
1899;МТС - Москва;31,09;rur;57,4;rur
1899;МТС - МР Дальневосточный;31,09;rur;57,4;rur
1899;МТС - МР Приволжский;31,09;rur;57,4;rur
1899;МТС - МР Северо-Западный;31,09;rur;57,4;rur
1899;МТС - МР Северо-кавказский;31,09;rur;57,4;rur
1899;МТС - МР Сибирский;31,09;rur;57,4;rur
1899;МТС - МР Уральский;31,09;rur;57,4;rur
1899;МТС - МР Центральный;31,09;rur;57,4;rur
1899;МТС - РеКом;31,09;rur;57,4;rur
1899;НСС;23,45;rur;56,24;rur
1899;НСС - Нижний Новгород;23,69;rur;66,36;rur
1899;НТК;24,55;rur;58;rur
1899;Оренбург GSM;2,75;rur;5;rur
1899;Саратов-Мобайл;24,07;rur;2;usd
1899;СМАРТС - Астрахань;20,62;rur;69,62;rur
1899;СМАРТС - Волгоград GSM;29,47;rur;69,62;rur
1899;СМАРТС - Иваново;30,13;rur;71,19;rur
1899;СМАРТС - Пенза;23,35;rur;69,49;rur
1899;СМАРТС - Самара;22,74;rur;71,19;rur
1899;СМАРТС - Шупашкар;28,41;rur;61,02;rur
1899;СМАРТС - Ярославль;26,34;rur;69,62;rur
1899;СТеК Джи Эс Эм;38,51;rur;70;rur
1899;Татинком;23,45;rur;56,24;rur
1899;Ульяновск GSM;36,06;rur;71;rur
1899;Цифровая экспансия;33,1;rur;60;rur
3649;TELE2;113,62;rur;228,82;rur
3649;UTEL;107,53;rur;260;rur
3649;АКОС;123,35;rur;228,82;rur
3649;БайкалВестКом;182,74;rur;338,98;rur
3649;Билайн;143,5;rur;254,24;rur
3649;Дельта Телеком (skylink);186,6;rur;300;rur
3649;Енисей Телеком;94,88;rur;228,81;rur
3649;Мегафон - Дальний Восток;61,7;rur;150;rur
3649;Мегафон - Москва;61,7;rur;150;rur
3649;Мегафон - Поволжье;61,7;rur;150;rur
3649;Мегафон - Северный Кавказ;61,7;rur;150;rur
3649;Мегафон - Северо-Запад;61,7;rur;150;rur
3649;Мегафон - Сибирь;61,7;rur;150;rur
3649;Мегафон - Урал;61,7;rur;150;rur
3649;Мегафон - Центр;61,7;rur;150;rur
3649;Мегафон - Центр - Северный филиал;61,7;rur;150;rur
3649;Мегафон - Центр - Южный филиал;61,7;rur;150;rur
3649;МОТИВ;123,35;rur;228,82;rur
3649;МТС;142,57;rur;258,3;rur
3649;МТС - Москва;142,57;rur;258,3;rur
3649;МТС - МР Дальневосточный;142,57;rur;258,3;rur
3649;МТС - МР Приволжский;142,57;rur;258,3;rur
3649;МТС - МР Северо-Западный;142,57;rur;258,3;rur
3649;МТС - МР Северо-кавказский;142,57;rur;258,3;rur
3649;МТС - МР Сибирский;142,57;rur;258,3;rur
3649;МТС - МР Уральский;142,57;rur;258,3;rur
3649;МТС - МР Центральный;142,57;rur;258,3;rur
3649;МТС - РеКом;142,57;rur;258,3;rur
3649;НСС;46,54;rur;112;rur
3649;НСС - Нижний Новгород;46,54;rur;112,48;rur
3649;НТК;107,82;rur;260;rur
3649;Оренбург GSM;94,88;rur;228,82;rur
3649;Саратов-Мобайл;105,43;rur;179,54;rur
3649;Сибирьтелеком;94,88;rur;228;rur
3649;СМАРТС - Астрахань;73,8;rur;254,24;rur
3649;СМАРТС - Волгоград GSM;42,17;rur;101,69;rur
3649;СМАРТС - Иваново;105,43;rur;254,24;rur
3649;СМАРТС - Пенза;56,05;rur;169,49;rur
3649;СМАРТС - Самара;94,71;rur;254,24;rur
3649;СМАРТС - Шупашкар;115,97;rur;254,24;rur
3649;СМАРТС - Ярославль;94,71;rur;254,24;rur
3649;СТеК Джи Эс Эм;123,35;rur;228,82;rur
3649;Татинком;46,54;rur;112,48;rur
3649;Ульяновск GSM;126,51;rur;254,24;rur
3649;Цифровая экспансия;137,05;rur;254,24;rur
5013;TELE2;46,44;rur;92,37;rur
5013;UTEL;37,42;rur;90;rur
5013;АКОС;50,31;rur;92,37;rur
5013;БайкалВестКом;50,31;rur;92,37;rur
5013;Билайн;54,17;rur;94,07;rur
5013;Дельта Телеком (skylink);56,45;rur;92;rur
5013;Енисей Телеком;38,7;rur;92,37;rur
5013;Мегафон - Дальний Восток;46,07;rur;99;rur
5013;Мегафон - Москва;46,07;rur;99;rur
5013;Мегафон - Поволжье;46,07;rur;99;rur
5013;Мегафон - Северный Кавказ;46,07;rur;99;rur
5013;Мегафон - Северо-Запад;46,07;rur;99;rur
5013;Мегафон - Сибирь;46,07;rur;99;rur
5013;Мегафон - Урал;46,07;rur;99;rur
5013;Мегафон - Центр;46,07;rur;99;rur
5013;Мегафон - Центр - Северный филиал;46,07;rur;99;rur
5013;Мегафон - Центр - Южный филиал;46,07;rur;99;rur
5013;МОТИВ;50,31;rur;92,37;rur
5013;МТС;47,92;rur;94,71;rur
5013;МТС - Москва;55,66;rur;94,71;rur
5013;МТС - МР Дальневосточный;55,66;rur;94,71;rur
5013;МТС - МР Приволжский;55,66;rur;94,71;rur
5013;МТС - МР Северо-Западный;55,66;rur;94,71;rur
5013;МТС - МР Северо-кавказский;55,66;rur;94,71;rur
5013;МТС - МР Сибирский;55,66;rur;94,71;rur
5013;МТС - МР Уральский;55,66;rur;94,71;rur
5013;МТС - МР Центральный;55,66;rur;94,71;rur
5013;МТС - РеКом;55,66;rur;94,71;rur
5013;НСС - Нижний Новгород;41,13;rur;98,42;rur
5013;НТК;36,33;rur;86,71;rur
5013;Оренбург GSM;38,7;rur;92,37;rur
5013;Саратов-Мобайл;37,29;rur;83,41;rur
5013;СМАРТС - Астрахань;27,34;rur;93,22;rur
5013;СМАРТС - Волгоград GSM;37,71;rur;90;rur
5013;СМАРТС - Иваново;38,7;rur;92,37;rur
5013;СМАРТС - Пенза;31,07;rur;93,22;rur
5013;СМАРТС - Самара;34,97;rur;93,22;rur
5013;СМАРТС - Шупашкар;42,96;rur;93,22;rur
5013;СМАРТС - Ярославль;34,97;rur;93,22;rur
5013;СТеК Джи Эс Эм;56,56;rur;92,37;rur
5013;Ульяновск GSM;46,44;rur;92,37;rur
5013;Цифровая экспансия;50,31;rur;92,37;rur
5014;TELE2;72,43;rur;144,07;rur
5014;UTEL;62,56;rur;150;rur
5014;АКОС;78,47;rur;144,07;rur
5014;БайкалВестКом;78,46;rur;144,07;rur
5014;Билайн;83,5;rur;144,07;rur
5014;Дельта Телеком (skylink);88,36;rur;144;rur
5014;Енисей Телеком;60,36;rur;144,07;rur
5014;Мегафон - Дальний Восток;67,26;rur;144,06;rur
5014;Мегафон - Москва;67,26;rur;144,06;rur
5014;Мегафон - Поволжье;67,26;rur;144,06;rur
5014;Мегафон - Северный Кавказ;67,26;rur;144,06;rur
5014;Мегафон - Северо-Запад;67,26;rur;144,06;rur
5014;Мегафон - Сибирь;67,26;rur;144,06;rur
5014;Мегафон - Урал;67,26;rur;144,06;rur
5014;Мегафон - Центр;67,26;rur;144,06;rur
5014;Мегафон - Центр - Северный филиал;67,26;rur;144,06;rur
5014;Мегафон - Центр - Южный филиал;67,26;rur;144,06;rur
5014;МОТИВ;78,46;rur;144,07;rur
5014;МТС;80,2;rur;157,85;rur
5014;МТС - Москва;93,13;rur;157,85;rur
5014;МТС - МР Дальневосточный;93,13;rur;157,85;rur
5014;МТС - МР Приволжский;93,13;rur;157,85;rur
5014;МТС - МР Северо-Западный;93,13;rur;157,85;rur
5014;МТС - МР Северо-кавказский;93,13;rur;157,85;rur
5014;МТС - МР Сибирский;93,13;rur;157,85;rur
5014;МТС - МР Уральский;93,13;rur;157,85;rur
5014;МТС - МР Центральный;93,13;rur;157,85;rur
5014;МТС - РеКом;93,13;rur;157,85;rur
5014;НСС - Нижний Новгород;47,02;rur;112,48;rur
5014;НТК;60,75;rur;145;rur
5014;Оренбург GSM;60,36;rur;144,07;rur
5014;Саратов-Мобайл;62,15;rur;95,32;rur
5014;СМАРТС - Астрахань;42,25;rur;144,07;rur
5014;СМАРТС - Волгоград GSM;37,71;rur;90;rur
5014;СМАРТС - Иваново;60,36;rur;144,07;rur
5014;СМАРТС - Пенза;48,11;rur;144,07;rur
5014;СМАРТС - Самара;54,14;rur;144,07;rur
5014;СМАРТС - Шупашкар;66,39;rur;144,07;rur
5014;СМАРТС - Ярославль;54,14;rur;144,07;rur
5014;СТеК Джи Эс Эм;88,22;rur;144,07;rur
5014;Ульяновск GSM;72,43;rur;144,07;rur
5014;Цифровая экспансия;78,46;rur;144,07;rur
840501;Билайн;31,49;rur;42;rur
840502;Билайн;62,99;rur;84;rur
840503;Билайн;125,97;rur;169;rur
840504;Билайн;314,94;rur;423;rur
840511;Билайн;59,24;rur;84;rur
840512;Билайн;118,48;rur;169;rur
840513;Билайн;296,19;rur;423;rur
840514;Билайн;592,38;rur;847;rur
840521;Билайн;739,31;rur;900;rur
840522;Билайн;2464,36;rur;3000;rur
840531;Билайн;1142,33;rur;1500;rur
840532;Билайн;913,87;rur;1200;rur
845021;Билайн;287,94;rur;338;rur
845022;Билайн;575,88;rur;677;rur
845023;Билайн;863,83;rur;1016;rur
845024;Билайн;1079,78;rur;1271;rur
845031;Билайн;200,21;rur;254;rur
845032;Билайн;400,42;rur;508;rur
845033;Билайн;600,63;rur;762;rur
845034;Билайн;800,84;rur;1016;rur

Украина;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
5011;UMC (Украина);2,33;rur;1,69;uah
5011;Билайн (Украина);1,71;rur;1,69;uah
5011;Киевстар (Украина);3,27;rur;1,69;uah
5012;UMC (Украина);11,73;rur;5;uah
5012;Билайн (Украина);8,78;rur;5;uah
5012;Киевстар (Украина);13,62;rur;5;uah
5013;UMC (Украина);35,19;rur;15,25;uah
5013;Билайн (Украина);26,34;rur;15,25;uah
5013;Киевстар (Украина);43,98;rur;15,25;uah
5014;UMC (Украина);48,87;rur;21,19;uah
5014;Билайн (Украина);36,57;rur;21,19;uah
5014;Киевстар (Украина);61,09;rur;21,19;uah

Украина(Life);
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1161;Life;24,11;rur;18;uah
1171;Life;33,49;rur;25;uah

Беларусь;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
5013;МТС;18,37;rur;3;usd
5014;БелСел;38,04;rur;4,2;usd
5014;МТС;32,18;rur;4,2;usd

Казахстан;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
9912;K-Cell (Казахстан);6,71;rur;110,17;kzt
9912;КарТел;8,95;rur;110,17;kzt
9915;K-Cell (Казахстан);28,4;rur;466,1;kzt
9915;КарТел;37,87;rur;466,1;kzt
9916;K-Cell (Казахстан);20,66;rur;338,98;kzt
9916;КарТел;27,54;rur;338,98;kzt
9917;K-Cell (Казахстан);14,72;rur;241;kzt
9917;КарТел;19,62;rur;241;kzt

Таджикистан;
Номер;Оператор;Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1131;MLT(Таджикистан);3,23;rur;0,3;usd
1131;Билайн;1,73;rur;0,3;usd
